household_type_id,ami_percentile,age_group,year,total_hh
More than one adult with no children,10,45-64,2012,2266
More than one adult with no children,10,45-64,2013,2410
More than one adult with no children,10,45-64,2014,2929
More than one adult with no children,10,45-64,2015,1522
More than one adult with no children,10,45-64,2016,2173
More than one adult with no children,10,45-64,2017,2424
More than one adult with no children,10,45-64,2018,2988
More than one adult with no children,10,45-64,2019,2114
More than one adult with no children,10,45-64,2021,3119
More than one adult with no children,10,45-64,2022,2546
More than one adult with no children,10,45-64,2023,3315
More than one adult with no children,10,65 and over,2000,660
More than one adult with no children,10,65 and over,2001,371
More than one adult with no children,10,65 and over,2002,353
More than one adult with no children,10,65 and over,2003,177
More than one adult with no children,10,65 and over,2004,1947
More than one adult with no children,10,65 and over,2005,886
More than one adult with no children,10,65 and over,2006,449
More than one adult with no children,10,65 and over,2007,411
More than one adult with no children,10,65 and over,2008,651
More than one adult with no children,10,65 and over,2009,812
More than one adult with no children,10,65 and over,2010,405
More than one adult with no children,10,65 and over,2011,807
More than one adult with no children,10,65 and over,2012,680
More than one adult with no children,10,65 and over,2013,1054
More than one adult with no children,10,65 and over,2014,1042
More than one adult with no children,10,65 and over,2015,807
More than one adult with no children,10,65 and over,2016,1603
More than one adult with no children,10,65 and over,2017,2316
More than one adult with no children,10,65 and over,2018,1530
More than one adult with no children,10,65 and over,2019,1113
More than one adult with no children,10,65 and over,2021,2617
More than one adult with no children,10,65 and over,2022,2661
More than one adult with no children,10,65 and over,2023,3502
One adult with children,10,Under 18,2000,25
One adult with children,10,Under 18,2001,858
One adult with children,10,Under 18,2002,NA
One adult with children,10,Under 18,2003,NA
One adult with children,10,Under 18,2004,NA
One adult with children,10,Under 18,2005,NA
One adult with children,10,Under 18,2006,45
One adult with children,10,Under 18,2007,24
One adult with children,10,Under 18,2008,NA
One adult with children,10,Under 18,2009,NA
One adult with children,10,Under 18,2010,NA
One adult with children,10,Under 18,2011,NA
One adult with children,10,Under 18,2012,NA
One adult with children,10,Under 18,2013,NA
One adult with children,10,Under 18,2014,NA
One adult with children,10,Under 18,2015,NA
One adult with children,10,Under 18,2016,NA
One adult with children,10,Under 18,2017,NA
One adult with children,10,Under 18,2018,NA
One adult with children,10,Under 18,2019,NA
One adult with children,10,Under 18,2021,NA
One adult with children,10,Under 18,2022,NA
One adult with children,10,Under 18,2023,NA
One adult with children,10,18-24,2000,1240
One adult with children,10,18-24,2001,1352
One adult with children,10,18-24,2002,1559
One adult with children,10,18-24,2003,1910
One adult with children,10,18-24,2004,1912
One adult with children,10,18-24,2005,2121
One adult with children,10,18-24,2006,1958
One adult with children,10,18-24,2007,1684
One adult with children,10,18-24,2008,2618
One adult with children,10,18-24,2009,1088
One adult with children,10,18-24,2010,1220
One adult with children,10,18-24,2011,1391
One adult with children,10,18-24,2012,1500
One adult with children,10,18-24,2013,1215
One adult with children,10,18-24,2014,695
One adult with children,10,18-24,2015,1139
One adult with children,10,18-24,2016,271
One adult with children,10,18-24,2017,325
One adult with children,10,18-24,2018,549
One adult with children,10,18-24,2019,484
One adult with children,10,18-24,2021,341
One adult with children,10,18-24,2022,139
One adult with children,10,18-24,2023,419
One adult with children,10,25-44,2000,4427
One adult with children,10,25-44,2001,6469
One adult with children,10,25-44,2002,3001
One adult with children,10,25-44,2003,8388
One adult with children,10,25-44,2004,12371
One adult with children,10,25-44,2005,8071
One adult with children,10,25-44,2006,7893
One adult with children,10,25-44,2007,5122
One adult with children,10,25-44,2008,4405
One adult with children,10,25-44,2009,5766
One adult with children,10,25-44,2010,5507
One adult with children,10,25-44,2011,5709
One adult with children,10,25-44,2012,4691
One adult with children,10,25-44,2013,4268
One adult with children,10,25-44,2014,6095
One adult with children,10,25-44,2015,5544
One adult with children,10,25-44,2016,5263
One adult with children,10,25-44,2017,5958
One adult with children,10,25-44,2018,5782
One adult with children,10,25-44,2019,5575
One adult with children,10,25-44,2021,6220
One adult with children,10,25-44,2022,4983
One adult with children,10,25-44,2023,4679
One adult with children,10,45-64,2000,1003
One adult with children,10,45-64,2001,1290
One adult with children,10,45-64,2002,1156
One adult with children,10,45-64,2003,1537
One adult with children,10,45-64,2004,966
One adult with children,10,45-64,2005,976
One adult with children,10,45-64,2006,1520
One adult with children,10,45-64,2007,2057
One adult with children,10,45-64,2008,2232
One adult with children,10,45-64,2009,1473
One adult with children,10,45-64,2010,1527
One adult with children,10,45-64,2011,1676
One adult with children,10,45-64,2012,1878
One adult with children,10,45-64,2013,1835
One adult with children,10,45-64,2014,1449
One adult with children,10,45-64,2015,2114
One adult with children,10,45-64,2016,1019
One adult with children,10,45-64,2017,1834
One adult with children,10,45-64,2018,1505
One adult with children,10,45-64,2019,930
One adult with children,10,45-64,2021,3619
One adult with children,10,45-64,2022,3057
One adult with children,10,45-64,2023,3311
One adult with children,10,65 and over,2000,195
One adult with children,10,65 and over,2001,NA
One adult with children,10,65 and over,2002,NA
One adult with children,10,65 and over,2003,186
One adult with children,10,65 and over,2004,NA
One adult with children,10,65 and over,2005,NA
One adult with children,10,65 and over,2006,195
One adult with children,10,65 and over,2007,NA
One adult with children,10,65 and over,2008,94
One adult with children,10,65 and over,2009,222
One adult with children,10,65 and over,2010,NA
One adult with children,10,65 and over,2011,153
One adult with children,10,65 and over,2012,279
One adult with children,10,65 and over,2013,226
One adult with children,10,65 and over,2014,118
One adult with children,10,65 and over,2015,110
One adult with children,10,65 and over,2016,47
One adult with children,10,65 and over,2017,704
One adult with children,10,65 and over,2018,223
One adult with children,10,65 and over,2019,445
One adult with children,10,65 and over,2021,455
One adult with children,10,65 and over,2022,672
One adult with children,10,65 and over,2023,677
One adult with no children	,10,Under 18,2000,33
One adult with no children	,10,Under 18,2001,NA
One adult with no children	,10,Under 18,2002,304
One adult with no children	,10,Under 18,2003,NA
One adult with no children	,10,Under 18,2004,NA
One adult with no children	,10,Under 18,2005,294
One adult with no children	,10,Under 18,2006,341
One adult with no children	,10,Under 18,2007,NA
One adult with no children	,10,Under 18,2008,85
One adult with no children	,10,Under 18,2009,NA
One adult with no children	,10,Under 18,2010,NA
One adult with no children	,10,Under 18,2011,NA
One adult with no children	,10,Under 18,2012,NA
One adult with no children	,10,Under 18,2013,79
One adult with no children	,10,Under 18,2014,NA
One adult with no children	,10,Under 18,2015,NA
One adult with no children	,10,Under 18,2016,NA
One adult with no children	,10,Under 18,2017,33
One adult with no children	,10,Under 18,2018,NA
One adult with no children	,10,Under 18,2019,114
One adult with no children	,10,Under 18,2021,NA
One adult with no children	,10,Under 18,2022,129
One adult with no children	,10,Under 18,2023,NA
One adult with no children	,10,18-24,2000,2189
One adult with no children	,10,18-24,2001,3348
One adult with no children	,10,18-24,2002,4352
One adult with no children	,10,18-24,2003,4299
One adult with no children	,10,18-24,2004,3762
One adult with no children	,10,18-24,2005,4860
One adult with no children	,10,18-24,2006,4310
One adult with no children	,10,18-24,2007,3602
One adult with no children	,10,18-24,2008,3291
One adult with no children	,10,18-24,2009,3359
One adult with no children	,10,18-24,2010,4752
One adult with no children	,10,18-24,2011,3574
One adult with no children	,10,18-24,2012,4444
One adult with no children	,10,18-24,2013,3525
One adult with no children	,10,18-24,2014,5026
One adult with no children	,10,18-24,2015,2114
One adult with no children	,10,18-24,2016,3358
One adult with no children	,10,18-24,2017,1547
One adult with no children	,10,18-24,2018,2629
One adult with no children	,10,18-24,2019,2578
One adult with no children	,10,18-24,2021,3232
One adult with no children	,10,18-24,2022,3337
One adult with no children	,10,18-24,2023,6438
One adult with no children	,10,25-44,2000,3159
One adult with no children	,10,25-44,2001,4458
One adult with no children	,10,25-44,2002,4677
One adult with no children	,10,25-44,2003,4834
One adult with no children	,10,25-44,2004,5713
One adult with no children	,10,25-44,2005,4896
One adult with no children	,10,25-44,2006,5487
One adult with no children	,10,25-44,2007,5936
One adult with no children	,10,25-44,2008,3762
One adult with no children	,10,25-44,2009,4627
One adult with no children	,10,25-44,2010,4033
One adult with no children	,10,25-44,2011,3844
One adult with no children	,10,25-44,2012,4110
One adult with no children	,10,25-44,2013,4581
One adult with no children	,10,25-44,2014,4843
One adult with no children	,10,25-44,2015,5236
One adult with no children	,10,25-44,2016,4810
One adult with no children	,10,25-44,2017,3474
One adult with no children	,10,25-44,2018,4912
One adult with no children	,10,25-44,2019,7846
One adult with no children	,10,25-44,2021,5840
One adult with no children	,10,25-44,2022,6425
One adult with no children	,10,25-44,2023,6232
One adult with no children	,10,45-64,2000,5273
One adult with no children	,10,45-64,2001,6034
One adult with no children	,10,45-64,2002,5052
One adult with no children	,10,45-64,2003,8055
One adult with no children	,10,45-64,2004,7405
One adult with no children	,10,45-64,2005,7599
One adult with no children	,10,45-64,2006,9037
One adult with no children	,10,45-64,2007,8311
One adult with no children	,10,45-64,2008,9888
One adult with no children	,10,45-64,2009,7474
One adult with no children	,10,45-64,2010,9032
One adult with no children	,10,45-64,2011,8935
One adult with no children	,10,45-64,2012,8855
One adult with no children	,10,45-64,2013,9302
One adult with no children	,10,45-64,2014,12310
One adult with no children	,10,45-64,2015,9767
One adult with no children	,10,45-64,2016,10736
One adult with no children	,10,45-64,2017,9585
One adult with no children	,10,45-64,2018,11509
One adult with no children	,10,45-64,2019,11196
One adult with no children	,10,45-64,2021,11413
One adult with no children	,10,45-64,2022,11440
One adult with no children	,10,45-64,2023,13294
One adult with no children	,10,65 and over,2000,3216
One adult with no children	,10,65 and over,2001,4874
One adult with no children	,10,65 and over,2002,6037
One adult with no children	,10,65 and over,2003,3051
One adult with no children	,10,65 and over,2004,2383
One adult with no children	,10,65 and over,2005,4219
One adult with no children	,10,65 and over,2006,4331
One adult with no children	,10,65 and over,2007,2673
One adult with no children	,10,65 and over,2008,5210
One adult with no children	,10,65 and over,2009,4255
One adult with no children	,10,65 and over,2010,3929
One adult with no children	,10,65 and over,2011,5571
One adult with no children	,10,65 and over,2012,4697
One adult with no children	,10,65 and over,2013,5704
One adult with no children	,10,65 and over,2014,5803
One adult with no children	,10,65 and over,2015,5361
One adult with no children	,10,65 and over,2016,8187
One adult with no children	,10,65 and over,2017,9533
One adult with no children	,10,65 and over,2018,8492
One adult with no children	,10,65 and over,2019,11033
One adult with no children	,10,65 and over,2021,12725
One adult with no children	,10,65 and over,2022,16641
One adult with no children	,10,65 and over,2023,17532
More than one adult with children,20,Under 18,2000,54
More than one adult with children,20,Under 18,2001,NA
More than one adult with children,20,Under 18,2002,NA
More than one adult with children,20,Under 18,2003,NA
More than one adult with children,20,Under 18,2004,NA
More than one adult with children,20,Under 18,2005,NA
More than one adult with children,20,Under 18,2006,158
More than one adult with children,20,Under 18,2007,61
More than one adult with children,20,Under 18,2008,43
More than one adult with children,20,Under 18,2009,NA
More than one adult with children,20,Under 18,2010,NA
More than one adult with children,20,Under 18,2011,NA
More than one adult with children,20,Under 18,2012,NA
More than one adult with children,20,Under 18,2013,NA
More than one adult with children,20,Under 18,2014,NA
More than one adult with children,20,Under 18,2015,271
More than one adult with children,20,Under 18,2016,NA
More than one adult with children,20,Under 18,2017,NA
More than one adult with children,20,Under 18,2018,NA
More than one adult with children,20,Under 18,2019,NA
More than one adult with children,20,Under 18,2021,NA
More than one adult with children,20,Under 18,2022,NA
More than one adult with children,20,Under 18,2023,NA
More than one adult with children,20,18-24,2000,982
More than one adult with children,20,18-24,2001,2130
More than one adult with children,20,18-24,2002,456
More than one adult with children,20,18-24,2003,655
More than one adult with children,20,18-24,2004,2744
More than one adult with children,20,18-24,2005,1989
More than one adult with children,20,18-24,2006,1538
More than one adult with children,20,18-24,2007,917
More than one adult with children,20,18-24,2008,1446
More than one adult with children,20,18-24,2009,1348
More than one adult with children,20,18-24,2010,1100
More than one adult with children,20,18-24,2011,1439
More than one adult with children,20,18-24,2012,1845
More than one adult with children,20,18-24,2013,775
More than one adult with children,20,18-24,2014,1427
More than one adult with children,20,18-24,2015,218
More than one adult with children,20,18-24,2016,561
More than one adult with children,20,18-24,2017,1023
More than one adult with children,20,18-24,2018,502
More than one adult with children,20,18-24,2019,638
More than one adult with children,20,18-24,2021,1019
More than one adult with children,20,18-24,2022,66
More than one adult with children,20,18-24,2023,216
More than one adult with children,20,25-44,2000,4964
More than one adult with children,20,25-44,2001,4368
More than one adult with children,20,25-44,2002,6028
More than one adult with children,20,25-44,2003,5097
More than one adult with children,20,25-44,2004,5073
More than one adult with children,20,25-44,2005,7059
More than one adult with children,20,25-44,2006,6764
More than one adult with children,20,25-44,2007,5956
More than one adult with children,20,25-44,2008,8833
More than one adult with children,20,25-44,2009,9617
More than one adult with children,20,25-44,2010,8107
More than one adult with children,20,25-44,2011,8038
More than one adult with children,20,25-44,2012,6616
More than one adult with children,20,25-44,2013,6632
More than one adult with children,20,25-44,2014,5968
More than one adult with children,20,25-44,2015,5662
More than one adult with children,20,25-44,2016,6215
More than one adult with children,20,25-44,2017,5335
More than one adult with children,20,25-44,2018,6581
More than one adult with children,20,25-44,2019,3651
More than one adult with children,20,25-44,2021,6964
More than one adult with children,20,25-44,2022,8683
More than one adult with children,20,25-44,2023,5743
More than one adult with children,20,45-64,2000,1613
More than one adult with children,20,45-64,2001,218
More than one adult with children,20,45-64,2002,3178
More than one adult with children,20,45-64,2003,2432
More than one adult with children,20,45-64,2004,877
More than one adult with children,20,45-64,2005,1215
More than one adult with children,20,45-64,2006,1929
More than one adult with children,20,45-64,2007,1788
More than one adult with children,20,45-64,2008,2390
More than one adult with children,20,45-64,2009,2990
More than one adult with children,20,45-64,2010,2658
More than one adult with children,20,45-64,2011,1603
More than one adult with children,20,45-64,2012,4026
More than one adult with children,20,45-64,2013,1371
More than one adult with children,20,45-64,2014,2463
More than one adult with children,20,45-64,2015,3529
More than one adult with children,20,45-64,2016,2035
More than one adult with children,20,45-64,2017,3081
More than one adult with children,20,45-64,2018,3742
More than one adult with children,20,45-64,2019,2932
More than one adult with children,20,45-64,2021,2209
More than one adult with children,20,45-64,2022,2277
More than one adult with children,20,45-64,2023,2416
More than one adult with children,20,65 and over,2000,277
More than one adult with children,20,65 and over,2001,420
More than one adult with children,20,65 and over,2002,491
More than one adult with children,20,65 and over,2003,NA
More than one adult with children,20,65 and over,2004,870
More than one adult with children,20,65 and over,2005,234
More than one adult with children,20,65 and over,2006,189
More than one adult with children,20,65 and over,2007,66
More than one adult with children,20,65 and over,2008,NA
More than one adult with children,20,65 and over,2009,413
More than one adult with children,20,65 and over,2010,318
More than one adult with children,20,65 and over,2011,328
More than one adult with children,20,65 and over,2012,581
More than one adult with children,20,65 and over,2013,303
More than one adult with children,20,65 and over,2014,326
More than one adult with children,20,65 and over,2015,308
More than one adult with children,20,65 and over,2016,NA
More than one adult with children,20,65 and over,2017,610
More than one adult with children,20,65 and over,2018,498
More than one adult with children,20,65 and over,2019,213
More than one adult with children,20,65 and over,2021,331
More than one adult with children,20,65 and over,2022,1081
More than one adult with children,20,65 and over,2023,903
More than one adult with no children,20,Under 18,2000,63
More than one adult with no children,20,Under 18,2001,241
More than one adult with no children,20,Under 18,2002,NA
More than one adult with no children,20,Under 18,2003,NA
More than one adult with no children,20,Under 18,2004,245
More than one adult with no children,20,Under 18,2005,330
More than one adult with no children,20,Under 18,2006,NA
More than one adult with no children,20,Under 18,2007,NA
More than one adult with no children,20,Under 18,2008,NA
More than one adult with no children,20,Under 18,2009,35
More than one adult with no children,20,Under 18,2010,NA
More than one adult with no children,20,Under 18,2011,NA
More than one adult with no children,20,Under 18,2012,NA
More than one adult with no children,20,Under 18,2013,NA
More than one adult with no children,20,Under 18,2014,NA
More than one adult with no children,20,Under 18,2015,69
More than one adult with no children,20,Under 18,2016,19
More than one adult with no children,20,Under 18,2017,169
More than one adult with no children,20,Under 18,2018,49
More than one adult with no children,20,Under 18,2019,NA
More than one adult with no children,20,Under 18,2021,NA
More than one adult with no children,20,Under 18,2022,NA
More than one adult with no children,20,Under 18,2023,NA
More than one adult with no children,20,18-24,2000,3412
More than one adult with no children,20,18-24,2001,3007
More than one adult with no children,20,18-24,2002,1357
More than one adult with no children,20,18-24,2003,3587
More than one adult with no children,20,18-24,2004,5374
More than one adult with no children,20,18-24,2005,2571
More than one adult with no children,20,18-24,2006,2809
More than one adult with no children,20,18-24,2007,4739
More than one adult with no children,20,18-24,2008,3508
More than one adult with no children,20,18-24,2009,6369
More than one adult with no children,20,18-24,2010,4320
More than one adult with no children,20,18-24,2011,2682
More than one adult with no children,20,18-24,2012,4562
More than one adult with no children,20,18-24,2013,3594
More than one adult with no children,20,18-24,2014,3855
More than one adult with no children,20,18-24,2015,3063
More than one adult with no children,20,18-24,2016,4172
More than one adult with no children,20,18-24,2017,3202
More than one adult with no children,20,18-24,2018,2881
More than one adult with no children,20,18-24,2019,4970
More than one adult with no children,20,18-24,2021,4459
More than one adult with no children,20,18-24,2022,5475
More than one adult with no children,20,18-24,2023,4880
More than one adult with no children,20,25-44,2000,1474
More than one adult with no children,20,25-44,2001,1043
More than one adult with no children,20,25-44,2002,1821
More than one adult with no children,20,25-44,2003,1053
More than one adult with no children,20,25-44,2004,1693
More than one adult with no children,20,25-44,2005,2042
More than one adult with no children,20,25-44,2006,999
More than one adult with no children,20,25-44,2007,2132
More than one adult with no children,20,25-44,2008,2551
More than one adult with no children,20,25-44,2009,1717
More than one adult with no children,20,25-44,2010,2923
More than one adult with no children,20,25-44,2011,2395
More than one adult with no children,20,25-44,2012,1394
More than one adult with no children,20,25-44,2013,2033
More than one adult with no children,20,25-44,2014,1747
More than one adult with no children,20,25-44,2015,952
More than one adult with no children,20,25-44,2016,1953
More than one adult with no children,20,25-44,2017,1606
More than one adult with no children,20,25-44,2018,1407
More than one adult with no children,20,25-44,2019,1998
More than one adult with no children,20,25-44,2021,1922
More than one adult with no children,20,25-44,2022,1971
More than one adult with no children,20,25-44,2023,2110
More than one adult with no children,20,45-64,2000,2731
More than one adult with no children,20,45-64,2001,1093
More than one adult with no children,20,45-64,2002,2746
More than one adult with no children,20,45-64,2003,1669
More than one adult with no children,20,45-64,2004,3680
More than one adult with no children,20,45-64,2005,3318
More than one adult with no children,20,45-64,2006,3747
More than one adult with no children,20,45-64,2007,4456
More than one adult with no children,20,45-64,2008,3374
More than one adult with no children,20,45-64,2009,3022
More than one adult with no children,20,45-64,2010,3171
More than one adult with no children,20,45-64,2011,3034
More than one adult with no children,20,45-64,2012,4381
More than one adult with no children,20,45-64,2013,3875
More than one adult with no children,20,45-64,2014,4565
More than one adult with no children,20,45-64,2015,4230
More than one adult with no children,20,45-64,2016,4181
More than one adult with no children,20,45-64,2017,4033
More than one adult with no children,20,45-64,2018,4478
More than one adult with no children,20,45-64,2019,4336
More than one adult with no children,20,45-64,2021,3875
More than one adult with no children,20,45-64,2022,4726
More than one adult with no children,20,45-64,2023,4198
More than one adult with no children,20,65 and over,2000,1792
More than one adult with no children,20,65 and over,2001,6631
More than one adult with no children,20,65 and over,2002,2628
More than one adult with no children,20,65 and over,2003,2064
More than one adult with no children,20,65 and over,2004,4003
More than one adult with no children,20,65 and over,2005,1818
More than one adult with no children,20,65 and over,2006,2254
More than one adult with no children,20,65 and over,2007,2084
More than one adult with no children,20,65 and over,2008,2934
More than one adult with no children,20,65 and over,2009,2468
More than one adult with no children,20,65 and over,2010,3491
More than one adult with no children,20,65 and over,2011,1494
More than one adult with no children,20,65 and over,2012,2406
More than one adult with no children,20,65 and over,2013,3669
More than one adult with no children,20,65 and over,2014,2635
More than one adult with no children,20,65 and over,2015,2707
More than one adult with no children,20,65 and over,2016,3496
More than one adult with no children,20,65 and over,2017,4451
More than one adult with no children,20,65 and over,2018,4589
More than one adult with no children,20,65 and over,2019,5397
More than one adult with no children,20,65 and over,2021,6104
More than one adult with no children,20,65 and over,2022,5187
More than one adult with no children,20,65 and over,2023,6849
One adult with children,20,18-24,2000,1260
One adult with children,20,18-24,2001,1214
